building,date,lbs_c02
Memorial Chapel,2014-10-01T04:00:00.000Z,14148.815999999999
Memorial Chapel,2014-11-01T04:00:00.000Z,22636.987999999998
Memorial Chapel,2014-12-01T05:00:00.000Z,15333.472
Memorial Chapel,2015-06-01T04:00:00.000Z,25.145999999999997
Memorial Chapel,2015-07-01T04:00:00.000Z,4727.447999999999
Memorial Chapel,2015-08-01T04:00:00.000Z,4881.1179999999995
Memorial Chapel,2015-09-01T04:00:00.000Z,4305.554
Memorial Chapel,2015-10-01T04:00:00.000Z,16825.467999999997
Memorial Chapel,2015-11-01T04:00:00.000Z,17998.948
Memorial Chapel,2015-12-01T05:00:00.000Z,21131.021999999997
Memorial Chapel,2016-01-01T05:00:00.000Z,32823.912
Memorial Chapel,2016-02-01T05:00:00.000Z,31681.165999999997
Memorial Chapel,2016-03-01T05:00:00.000Z,21759.672
Memorial Chapel,2016-04-01T04:00:00.000Z,14741.143999999998
Memorial Chapel,2016-05-01T04:00:00.000Z,0
Memorial Chapel,2016-06-01T04:00:00.000Z,0
Memorial Chapel,2016-07-01T04:00:00.000Z,0
Memorial Chapel,2016-08-01T04:00:00.000Z,0
Memorial Chapel,2016-09-01T04:00:00.000Z,0
Memorial Chapel,2016-10-01T04:00:00.000Z,0
Memorial Chapel,2016-11-01T04:00:00.000Z,0
Memorial Chapel,2016-12-01T05:00:00.000Z,0
Memorial Chapel,2017-01-01T05:00:00.000Z,0
Memorial Chapel,2017-02-01T05:00:00.000Z,0
Memorial Chapel,2017-03-01T05:00:00.000Z,0
Memorial Chapel,2017-04-01T04:00:00.000Z,1184.442333
Memorial Chapel,2017-05-01T04:00:00.000Z,4138.942122004813
Memorial Chapel,2017-06-01T04:00:00.000Z,824.9009629999999
Memorial Chapel,2017-07-01T04:00:00.000Z,2101.603384
Memorial Chapel,2017-08-01T04:00:00.000Z,1377.505401
Memorial Chapel,2017-09-01T04:00:00.000Z,610.603926
Memorial Chapel,2017-10-01T04:00:00.000Z,848.094056
Memorial Chapel,2017-11-01T04:00:00.000Z,612.644897
Memorial Chapel,2017-12-01T05:00:00.000Z,148.55061500000002
Memorial Chapel,2018-01-01T05:00:00.000Z,268.93508900000006
Memorial Chapel,2018-02-01T05:00:00.000Z,286.852218
Memorial Chapel,2018-03-01T05:00:00.000Z,267.06864300000007
Memorial Chapel,2018-04-01T04:00:00.000Z,281.4917449999999
Memorial Chapel,2018-05-01T04:00:00.000Z,1.9771484375000001
Memorial Chapel,2018-06-01T04:00:00.000Z,540.8530371612138
Memorial Chapel,2018-07-01T04:00:00.000Z,1618.4031933075362
Memorial Chapel,2018-08-01T04:00:00.000Z,15.95257599999999
Memorial Chapel,2018-09-01T04:00:00.000Z,229.14979300000013
Memorial Chapel,2018-10-01T04:00:00.000Z,173.254191
Memorial Chapel,2018-11-01T04:00:00.000Z,24.937189000000007
Memorial Chapel,2018-12-01T05:00:00.000Z,26.881122999999985
Memorial Chapel,2019-01-01T05:00:00.000Z,240.6027749999999
Memorial Chapel,2019-02-01T05:00:00.000Z,155.58945
Memorial Chapel,2019-03-01T05:00:00.000Z,80.4130078125
Memorial Chapel,2019-04-01T04:00:00.000Z,277.0802734375
Memorial Chapel,2019-05-01T04:00:00.000Z,270.8134375
Memorial Chapel,2019-06-01T04:00:00.000Z,252.89798828125
Memorial Chapel,2019-07-01T04:00:00.000Z,230.5003125
Memorial Chapel,2019-08-01T04:00:00.000Z,237.70292968750002
Memorial Chapel,2019-09-01T04:00:00.000Z,260.010546875
Memorial Chapel,2019-10-01T04:00:00.000Z,13.384570312500001
Patuxent Building,2014-10-01T04:00:00.000Z,76634.7663
Patuxent Building,2014-11-01T04:00:00.000Z,74665.77059999999
Patuxent Building,2014-12-01T05:00:00.000Z,78850.17119999998
Patuxent Building,2015-01-01T05:00:00.000Z,84483.16593749999
Patuxent Building,2015-02-01T05:00:00.000Z,73359.82215000002
Patuxent Building,2015-03-01T05:00:00.000Z,72360.4705125
Patuxent Building,2015-04-01T04:00:00.000Z,69869.22750588236
Patuxent Building,2015-05-01T04:00:00.000Z,76214.20009411767
Patuxent Building,2015-06-01T04:00:00.000Z,74701.74621935483
Patuxent Building,2015-07-01T04:00:00.000Z,83084.99818064517
Patuxent Building,2015-08-01T04:00:00.000Z,86358.6418363636
Patuxent Building,2015-09-01T04:00:00.000Z,79832.04436363636
Patuxent Building,2015-10-01T04:00:00.000Z,74159.39571428571
Patuxent Building,2015-11-01T04:00:00.000Z,59349.736777124635
Patuxent Building,2015-12-01T05:00:00.000Z,70261.57043286286
Patuxent Building,2016-01-01T05:00:00.000Z,83240.69364732152
Patuxent Building,2016-02-01T05:00:00.000Z,77336.0804880952
Patuxent Building,2016-03-01T05:00:00.000Z,67912.8075480616
Patuxent Building,2016-04-01T04:00:00.000Z,63167.62859999999
